number,name,age,grade,major,score,pass or not
20260516055,Hans Blueberry Ape,20,3,Database,34.0,False
20260516056,George Cherry Goose,20,3,AI,98.0,True
20260516057,Charlie Banana Bear,21,4,AI,,True
20260516058,Johny Banana Bear,18,1,Math,,True
20260516059,George Pear Elephant,21,4,Math,73.0,True
20260516060,Edward Pear Bear,18,1,Math,59.0,False
20260516061,Doris Cherry Dolphin,18,1,Coding,18.0,False
20260516062,Bella Blueberry Ape,20,3,Coding,87.0,True
20260516063,Edward Cloudberry Elephant,18,1,Computer,24.0,False
20260516064,David Cherry Goose,19,2,Coding,48.0,False
20260516065,George Banana Bear,21,4,Database,34.0,False
20260516066,Edward Banana Bear,19,2,Computer,52.0,False
20260516067,Joseph Apple Bear,18,1,Computer,99.0,True
20260516068,Carol Blueberry Goose,19,2,Math,80.0,True
20260516069,Johny Cherry Bear,18,1,Database,,True
20260516070,Ive Blueberry Dolphin,21,4,Coding,16.0,False
20260516071,Bella Strawberry Ape,21,4,Math,97.0,True
20260516072,Johny Banana Bear,21,4,Coding,26.0,False
20260516073,David Cherry Ape,19,2,Math,64.0,True
20260516074,Ive Strawberry Elephant,21,4,Coding,39.0,False
20260516075,Freya Cherry Ape,20,3,Coding,95.0,True
20260516076,Fayde Apple Bear,21,4,Coding,56.0,False
20260516077,David Banana Dolphin,18,1,Database,89.0,True
20260516078,Alice Cherry Bear,21,4,AI,22.0,False
20260516079,Freya Cherry Dolphin,20,3,Database,38.0,False
20260516080,Fayde Pear Dolphin,20,3,Math,8.0,False
20260516081,Johny Pear Elephant,21,4,Computer,51.0,False
20260516082,Bob Cherry Goose,20,3,Coding,44.0,False
20260516083,Carol Pear Elephant,21,4,Math,99.0,True
20260516084,Freya Cloudberry Bear,18,1,Database,98.0,True
20260516085,Doris Banana Dolphin,18,1,Computer,,False
20260516086,Alice Cloudberry Elephant,19,2,Computer,78.0,True
20260516087,Alan Cherry Elephant,18,1,Database,98.0,True
20260516088,Carol Apple Ape,18,1,Coding,18.0,False
20260516089,Alice Strawberry Bear,20,3,AI,10.0,False
20260516090,Johny Apple Elephant,21,4,Coding,63.0,True
20260516091,Hanna Cherry Dolphin,19,2,Math,79.0,True
20260516092,Alice Strawberry Goose,21,4,AI,10.0,False
20260516093,Freya Pear Ape,20,3,Database,82.0,True
20260516094,George Banana Bear,21,4,Computer,75.0,True
20260516095,Hanna Cloudberry Bear,19,2,Computer,14.0,False
20260516096,Johny Cloudberry Bear,19,2,Database,21.0,False
20260516097,David Strawberry Bear,20,3,AI,94.0,True
20260516098,Bob Cloudberry Bear,19,2,Computer,32.0,False
20260516099,Edward Pear Dolphin,19,2,AI,40.0,False
